citation_item,item_count,frequency
10.1007/3-540-30787-7,2,0.26
"A domain-specific language for business processes analysis, gonza?lez, 2009, 10.1007/978-3-642-01190-0_14",2,0.26
10.1109/BDIM.2007.375006,2,0.26
10.1108/14637150510630837,2,0.26
10.1007/978-3-642-28409-0_2,2,0.26
"weske, 2012",2,0.26
"Towards modelling and tracing key performance indicators in business processes, ortega, 2009",2,0.26
10.1007/978-3-642-16770-6_4,2,0.26
"Business process monitoring and alignment: An approach based on the user requirements notation and business intelligence tools, pourshahid, 2007",2,0.26
"Enterprise modeling for business intelligence, barone, 2010, 10.1007/978-3-642-16782-9_3",2,0.26
10.1109/ICIW.2009.57,2,0.26
"Challenges in supporting a goal-oriented enterprise architecture analysis, cardoso, 2013",2,0.26
"vercellis, 2009, 10.1002/9780470753866",2,0.26
"Building a process performance measurement system: Some early experiences, kueng, 1999",2,0.26
"S Suriadi, 2014",2,0.26
10.1007/978-3-642-00416-2,2,0.26
"Business process management: A survey, aalst, 2003, 10.1007/3-540-44895-0_1",2,0.26
10.1145/273244.273265,2,0.26
10.1007/978-3-642-23059-2_13,2,0.26
10.1201/1078.10580530/45769.23.1.20061201/91771.5,2,0.26
"Towards measuring key performance indicators of semantic business process, wetzstein, 2008",2,0.26
10.1007/978-3-540-68234-9_7,2,0.26
"Towards a model-driven development of monitored processes, momm, 2007",2,0.26
10.1109/EDOCW.2010.45,2,0.26
"Designing and utilising business indicator systems within enterprise models - outline of a method, frank, 2008",2,0.26
10.1109/EDOC.2012.12,2,0.26
"Defining process performance indicators: An ontological approach, ortega, 2010",2,0.26
10.4018/978-1-60566-288-6.ch020,2,0.26
10.1109/EDOC.2013.11,2,0.26
10.1109/SEAA.2015.50,2,0.26
10.1108/14637150610710918,2,0.26
10.1109/ICSC.2008.84,2,0.26
"Service Oriented Computing Research Roadmap, papazoglou, 2006",2,0.26
10.1108/14637159710161585,2,0.26
10.1007/978-3-031-07472-1_11,2,0.26
10.1007/978-94-010-9924-0,2,0.26
10.1109/TSC.2016.2645153,2,0.26
10.1137/1.9781611976700.59,2,0.26
"I Teinemaa, 2019, 10.1145/3301300",2,0.26
10.1007/978-3-642-32392-8,2,0.26
10.1145/3329007.3329014,2,0.26
10.1007/978-3-030-21290-2_34,2,0.26
10.1007/978-3-030-40172-6,2,0.26
"A Senderovich, 2019, 10.1016/j.is.2019.01.007",2,0.26
"Marlon Dumas, 2013, 10.1007/978-3-642-33143-5",2,0.26
10.1007/978-3-030-58666-9_14,2,0.26
"aalst, 2011, 10.1007/978-3-642-19345-3",2,0.26
"M La Rosa, 2011, 10.1016/j.eswa.2010.12.012",2,0.26
10.1007/978-3-319-98651-7_6,2,0.26
"T.H. Davenport, 1993",2,0.26
"M. Hammer, 1993",2,0.26
"A.N. Oppenheim, 1992",2,0.26
10.1109/TKDE.2006.123,2,0.26
10.1007/BF00186471,2,0.26
10.2307/3250980,2,0.26
"cardoso, 2009",2,0.26
10.1007/978-3-540-79396-0_20,2,0.26
